STATISTIC,Statistic Label,MonthID,Month,AuthorityID,Licensing Authority,Type of Fuel,UNIT,CarCount
TEM27C01,New Private Cars,202101,2021 January,7,Kildare,Diesel and electric hybrid,Number,30
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,All fuel types,Number,418
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Petrol,Number,124
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Diesel,Number,179
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Petrol and electric hybrid,Number,80
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Electric,Number,13
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Petrol or Diesel plug-in hybrid electric,Number,5
TEM27C01,New Private Cars,202101,2021 January,8,Kilkenny,Diesel and electric hybrid,Number,17
TEM27C01,New Private Cars,202101,2021 January,9,Laois,All fuel types,Number,289
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Petrol,Number,79
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Diesel,Number,126
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Petrol and electric hybrid,Number,47
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Electric,Number,9
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Petrol or Diesel plug-in hybrid electric,Number,15
TEM27C01,New Private Cars,202101,2021 January,9,Laois,Diesel and electric hybrid,Number,13
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,All fuel types,Number,77
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Petrol,Number,15
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Diesel,Number,40
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Petrol and electric hybrid,Number,16
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Electric,Number,2
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Petrol or Diesel plug-in hybrid electric,Number,2
TEM27C01,New Private Cars,202101,2021 January,10,Leitrim,Diesel and electric hybrid,Number,2
TEM27C01,New Private Cars,202101,2021 January,12,Longford,All fuel types,Number,127
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Petrol,Number,31
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Diesel,Number,51
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Petrol and electric hybrid,Number,36
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Electric,Number,2
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Petrol or Diesel plug-in hybrid electric,Number,3
TEM27C01,New Private Cars,202101,2021 January,12,Longford,Diesel and electric hybrid,Number,4
TEM27C01,New Private Cars,202101,2021 January,13,Louth,All fuel types,Number,468
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Petrol,Number,171
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Diesel,Number,148
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Petrol and electric hybrid,Number,94
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Electric,Number,24
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Petrol or Diesel plug-in hybrid electric,Number,19
TEM27C01,New Private Cars,202101,2021 January,13,Louth,Diesel and electric hybrid,Number,12
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,All fuel types,Number,316
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Petrol,Number,76
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Diesel,Number,147
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Petrol and electric hybrid,Number,66
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Electric,Number,10
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Petrol or Diesel plug-in hybrid electric,Number,11
TEM27C01,New Private Cars,202101,2021 January,14,Mayo,Diesel and electric hybrid,Number,6
TEM27C01,New Private Cars,202101,2021 January,15,Meath,All fuel types,Number,741
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Petrol,Number,244
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Diesel,Number,275
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Petrol and electric hybrid,Number,152
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Electric,Number,23
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Petrol or Diesel plug-in hybrid electric,Number,22
TEM27C01,New Private Cars,202101,2021 January,15,Meath,Diesel and electric hybrid,Number,25
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,All fuel types,Number,160
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Petrol,Number,44
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Diesel,Number,93
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Petrol and electric hybrid,Number,14
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Electric,Number,4
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Petrol or Diesel plug-in hybrid electric,Number,5
TEM27C01,New Private Cars,202101,2021 January,16,Monaghan,Diesel and electric hybrid,Number,0
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,All fuel types,Number,302
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Petrol,Number,61
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Diesel,Number,148
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Petrol and electric hybrid,Number,67
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Electric,Number,8
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Petrol or Diesel plug-in hybrid electric,Number,9
TEM27C01,New Private Cars,202101,2021 January,17,Offaly,Diesel and electric hybrid,Number,9
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,All fuel types,Number,198
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Petrol,Number,49
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Diesel,Number,101
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Petrol and electric hybrid,Number,40
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Electric,Number,4
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Petrol or Diesel plug-in hybrid electric,Number,1
TEM27C01,New Private Cars,202101,2021 January,18,Roscommon,Diesel and electric hybrid,Number,3
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,All fuel types,Number,185
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Petrol,Number,52
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Diesel,Number,74
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Petrol and electric hybrid,Number,40
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Electric,Number,12
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Petrol or Diesel plug-in hybrid electric,Number,4
TEM27C01,New Private Cars,202101,2021 January,19,Sligo,Diesel and electric hybrid,Number,3
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,All fuel types,Number,331
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Petrol,Number,62
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Diesel,Number,141
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Petrol and electric hybrid,Number,68
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Electric,Number,22
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Petrol or Diesel plug-in hybrid electric,Number,26
TEM27C01,New Private Cars,202101,2021 January,23,Westmeath,Diesel and electric hybrid,Number,12
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,All fuel types,Number,561
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Petrol,Number,158
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Diesel,Number,225
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Other fuel types,Number,4
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Petrol and electric hybrid,Number,106
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Electric,Number,26
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Petrol or Diesel plug-in hybrid electric,Number,27
TEM27C01,New Private Cars,202101,2021 January,24,Wexford,Diesel and electric hybrid,Number,15
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,All fuel types,Number,439
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Petrol,Number,164
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Diesel,Number,112
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Petrol and electric hybrid,Number,98
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Electric,Number,29
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Petrol or Diesel plug-in hybrid electric,Number,23
TEM27C01,New Private Cars,202101,2021 January,25,Wicklow,Diesel and electric hybrid,Number,13
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,All fuel types,Number,779
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Petrol,Number,240
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Diesel,Number,315
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Other fuel types,Number,1
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Petrol and electric hybrid,Number,146
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Electric,Number,23
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Petrol or Diesel plug-in hybrid electric,Number,33
TEM27C01,New Private Cars,202101,2021 January,30,Limerick,Diesel and electric hybrid,Number,21
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,All fuel types,Number,514
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Petrol,Number,205
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Diesel,Number,176
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Petrol and electric hybrid,Number,81
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Electric,Number,19
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Petrol or Diesel plug-in hybrid electric,Number,23
TEM27C01,New Private Cars,202101,2021 January,31,Waterford,Diesel and electric hybrid,Number,10
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,All fuel types,Number,543
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Petrol,Number,147
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Diesel,Number,218
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Petrol and electric hybrid,Number,118
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Electric,Number,21
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Petrol or Diesel plug-in hybrid electric,Number,21
TEM27C01,New Private Cars,202101,2021 January,32,Tipperary,Diesel and electric hybrid,Number,18
TEM27C01,New Private Cars,202101,2021 January,33,Cork,All fuel types,Number,2362
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Petrol,Number,802
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Diesel,Number,822
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Other fuel types,Number,
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Petrol and electric hybrid,Number,489
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Electric,Number,83
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Petrol or Diesel plug-in hybrid electric,Number,88
TEM27C01,New Private Cars,202101,2021 January,33,Cork,Diesel and electric hybrid,Number,78
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,All fuel types,Number,4856
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Petrol,Number,1852
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Diesel,Number,1105
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Other fuel types,Number,4
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Petrol and electric hybrid,Number,1213
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Electric,Number,275
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Petrol or Diesel plug-in hybrid electric,Number,355
TEM27C01,New Private Cars,202101,2021 January,34,Dublin,Diesel and electric hybrid,Number,52
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,All fuel types,Number,11672
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Petrol,Number,3610
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Diesel,Number,4505
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Petrol and electric hybrid,Number,2030
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Electric,Number,570
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Petrol or Diesel plug-in hybrid electric,Number,715
TEM27C01,New Private Cars,202102,2021 February,-,All licensing authorities,Diesel and electric hybrid,Number,242
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,All fuel types,Number,181
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Petrol,Number,61
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Diesel,Number,65
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Petrol and electric hybrid,Number,29
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Electric,Number,15
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Petrol or Diesel plug-in hybrid electric,Number,8
TEM27C01,New Private Cars,202102,2021 February,1,Carlow,Diesel and electric hybrid,Number,3
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,All fuel types,Number,198
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Petrol,Number,45
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Diesel,Number,104
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Petrol and electric hybrid,Number,38
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Electric,Number,5
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Petrol or Diesel plug-in hybrid electric,Number,5
TEM27C01,New Private Cars,202102,2021 February,2,Cavan,Diesel and electric hybrid,Number,1
TEM27C01,New Private Cars,202102,2021 February,3,Clare,All fuel types,Number,284
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Petrol,Number,89
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Diesel,Number,116
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Petrol and electric hybrid,Number,43
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Electric,Number,12
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Petrol or Diesel plug-in hybrid electric,Number,10
TEM27C01,New Private Cars,202102,2021 February,3,Clare,Diesel and electric hybrid,Number,14
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,All fuel types,Number,331
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Petrol,Number,102
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Diesel,Number,132
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Petrol and electric hybrid,Number,52
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Electric,Number,12
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Petrol or Diesel plug-in hybrid electric,Number,19
TEM27C01,New Private Cars,202102,2021 February,4,Donegal,Diesel and electric hybrid,Number,14
TEM27C01,New Private Cars,202102,2021 February,5,Galway,All fuel types,Number,459
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Petrol,Number,116
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Diesel,Number,207
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Petrol and electric hybrid,Number,86
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Electric,Number,25
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Petrol or Diesel plug-in hybrid electric,Number,21
TEM27C01,New Private Cars,202102,2021 February,5,Galway,Diesel and electric hybrid,Number,4
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,All fuel types,Number,337
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Petrol,Number,107
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Diesel,Number,142
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Petrol and electric hybrid,Number,55
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Electric,Number,10
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Petrol or Diesel plug-in hybrid electric,Number,11
TEM27C01,New Private Cars,202102,2021 February,6,Kerry,Diesel and electric hybrid,Number,12
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,All fuel types,Number,584
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Petrol,Number,185
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Diesel,Number,229
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Petrol and electric hybrid,Number,88
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Electric,Number,21
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Petrol or Diesel plug-in hybrid electric,Number,50
TEM27C01,New Private Cars,202102,2021 February,7,Kildare,Diesel and electric hybrid,Number,11
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,All fuel types,Number,261
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Petrol,Number,79
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Diesel,Number,113
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Petrol and electric hybrid,Number,37
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Electric,Number,9
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Petrol or Diesel plug-in hybrid electric,Number,8
TEM27C01,New Private Cars,202102,2021 February,8,Kilkenny,Diesel and electric hybrid,Number,15
TEM27C01,New Private Cars,202102,2021 February,9,Laois,All fuel types,Number,194
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Petrol,Number,46
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Diesel,Number,98
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Petrol and electric hybrid,Number,22
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Electric,Number,10
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Petrol or Diesel plug-in hybrid electric,Number,9
TEM27C01,New Private Cars,202102,2021 February,9,Laois,Diesel and electric hybrid,Number,9
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,All fuel types,Number,59
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Petrol,Number,15
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Diesel,Number,29
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Other fuel types,Number,
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Petrol and electric hybrid,Number,11
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Electric,Number,3
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Petrol or Diesel plug-in hybrid electric,Number,
TEM27C01,New Private Cars,202102,2021 February,10,Leitrim,Diesel and electric hybrid,Number,1
TEM27C01,New Private Cars,202102,2021 February,12,Longford,All fuel types,Number,78
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Petrol,Number,15
TEM27C01,New Private Cars,202102,2021 February,12,Longford,Diesel,Number,39
